City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Bijie,CN,27.3125,105.2942,62.33,67,0,0.69,clear sky
324,Trapani,IT,37.8333,12.6667,58.28,82,20,2.3,few clouds
325,Cap Malheureux,MU,-19.9842,57.6142,73.47,89,22,3.0,few clouds
326,Cabedelo,BR,-6.9811,-34.8339,75.87,81,100,11.86,overcast clouds
327,Amambai,BR,-23.1042,-55.2258,65.1,85,9,5.55,clear sky
328,Tomatlan,MX,19.9333,-105.25,80.64,59,8,6.4,clear sky
329,Ostrovnoy,RU,68.0531,39.5131,32.63,74,88,20.71,overcast clouds
330,Uvira,CD,-3.4067,29.1458,71.13,85,100,4.41,overcast clouds
331,Awbari,LY,26.5921,12.7805,72.61,19,99,6.33,overcast clouds
332,Mastic Beach,US,40.7668,-72.8521,59.22,24,0,21.99,clear sky
333,Phalodi,IN,27.1333,72.3667,84.15,36,0,12.41,clear sky
334,Longyearbyen,SJ,78.2186,15.6401,17.44,62,75,10.36,broken clouds
335,Willowmore,ZA,-33.2926,23.4895,51.12,48,73,2.04,broken clouds
336,Abu Samrah,SY,35.3029,37.1841,59.7,47,0,6.08,clear sky
337,Ukiah,US,39.1502,-123.2078,55.36,53,0,8.05,clear sky
338,Teocaltiche,MX,21.4333,-102.5833,87.31,12,43,4.36,scattered clouds
339,Bintulu,MY,3.1667,113.0333,79.21,88,20,5.01,few clouds
340,Manaquiri,BR,-3.3167,-60.35,79.29,94,92,2.53,overcast clouds
341,Husavik,IS,66.0449,-17.3389,36.68,98,100,12.59,overcast clouds
342,La Ferte-Bernard,FR,48.1863,0.6536,58.62,78,100,4.7,overcast clouds
343,Flinders,AU,-34.5833,150.8552,66.18,91,100,7.0,overcast clouds
344,Torbay,CA,47.6666,-52.7314,35.28,57,20,4.61,few clouds
345,Derzhavinsk,KZ,51.1,66.3167,53.44,60,100,16.58,overcast clouds
